Programa,Total,
Restauración de ecosistemas e infraestructura verde,440,Gasto total en millones de euros
Cooperación promoción y difusión educativa en el exterior,2038.41,Gasto total en millones de euros
Cooperación para el desarrollo,3110,Gasto total en millones de euros
Adaptación de la costa al cambio climático,4000,Gasto total en millones de euros
Reforma de capacidades del sistema nacional de CTI,6858,Gasto total en millones de euros
Mejora de infraestructuras digitales del equipamiento universitario,8530,Gasto total en millones de euros
Digitalización y conocimientos del patrimonio natural,29032.55,Gasto total en millones de euros
Reforma de capacidades del sistema nacional de CTI,41948.01,Gasto total en millones de euros
Becas y ayudas a estudiantes,49935.14,Gasto total en millones de euros
Dirección y Servicios Generales de Ciencia Innovación y Universidades,57627.29,Gasto total en millones de euros
Planes Complementarios con CCAA,60254.66,Gasto total en millones de euros
Fortalecimiento de los agentes del SECTI,75830.39,Gasto total en millones de euros
Despliegue de infraestructuras digitales transfronterizas. I+D+i+Digitalización,100000,Gasto total en millones de euros
Investigación energética medioambiental y tecnológica,115294.23,Gasto total en millones de euros
Formación y capacitación del personal docente e investigador,120520,Gasto total en millones de euros
Enseñanzas universitarias,146290.06,Gasto total en millones de euros
Nueva carrera científica,219010,Gasto total en millones de euros
Reforma de capacidades del sistema nacional de CTI: Sector aeroespacial,240000,Gasto total en millones de euros
Investigación sanitaria,330087.45,Gasto total en millones de euros
Reforma de capacidades del sistema nacional de CTI: Salud,424243.05,Gasto total en millones de euros
Nuevos proyectos I+D+I Publico Privados Interdisciplinares,442567.53,Gasto total en millones de euros
Investigación científica,1215692.87,Gasto total en millones de euros
Investigación y desarrollo tecnológico-industrial,1487455.58,Gasto total en millones de euros
Fomento y coordinación de la investigación científica y técnica,3016096.85,Gasto total en millones de euros
