;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Cap. 9;;;Total;
143A; Cooperación para el desarrollo;;1.540,00;;;1.570,00;;;3.110,00;;;;3.110,00;
144B; Cooperación, promoción y difusión educativa en el exterior;656,11;1.088,37;1,00;178,64;106,29;;8,00;2.038,41;;;;2.038,41;
322C; Enseñanzas universitarias;24.821,07;25.075,84;54,70;87.170,43;3.019,13;6.110,26;38,63;146.290,06;;;;146.290,06;
323M; Becas y ayudas a estudiantes;;;;49.935,14;;;;49.935,14;;;;49.935,14;
45DA; C04.I01 Digitalización y conocimientos del patrimonio natural;;;;;29.032,55;;;29.032,55;;;;29.032,55;
45DC; C04.I03 Restauración de ecosistemas e infraestructura verde;;;;;440,00;;;440,00;;;;440,00;
45ED; C05.I04 Adaptación de la costa al cambio climático e implementación de las Estrategias Marinas y de los planes de ordenación del espacio marítimo;;;;;4.000,00;;;4.000,00;;;;4.000,00;
46OE; C15.I05 Despliegue de infraestructuras digitales transfronterizas. I+D+i+Digitalización;;;;;;100.000,00;;100.000,00;;;;100.000,00;
46QA; C17.I01 Planes Complementarios con CCAA;;;;;27.654,66;32.600,00;;60.254,66;;;;60.254,66;
46QB; C17.I02 Fortalecimiento de las capacidades, infraestructuras y equipamientos de los agentes del SECTI;;;;;71.230,39;4.600,00;;75.830,39;;;;75.830,39;
46QC; C17.I03 Nuevos proyectos I+D+I Publico Privados, Interdisciplinares, Pruebas de concepto y concesión de ayudas consecuencia de convocatorias competitivas internacionales. I+D de vanguardia orientada a retos de la sociedad. Compra pública pre-comercial.;;66,39;;;1.069,49;441.431,65;;442.567,53;;;;442.567,53;
46QD; C17.I04 Nueva carrera científica;;52,60;;;2.983,00;215.974,40;;219.010,00;;;;219.010,00;
46QE; C17.I05 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Transferencia de conocimiento;;;;;268,01;41.680,00;;41.948,01;;;;41.948,01;
46QF; C17.I06 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Salud;;;;;99.243,05;295.000,00;30.000,00;424.243,05;;;;424.243,05;
46QG; C17.I07 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Medioambiente, cambio climático y energía;;;;;6.858,00;;;6.858,00;;;;6.858,00;
46QI; C17.I09 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Sector aeroespacial;;;;;;40.000,00;200.000,00;240.000,00;;;;240.000,00;
46UD; C21.I04 Formación y capacitación del personal docente e investigador;;;;;;120.520,00;;120.520,00;;;;120.520,00;
46UE; C21.I05 Mejora de infraestructuras digitales, el equipamiento, las tecnologías, la docencia y la evaluación digitales universitarios;;;;;;8.530,00;;8.530,00;;;;8.530,00;
461M; Dirección y Servicios Generales de Ciencia, Innovación y Universidades;43.661,52;9.095,18;;;4.850,59;;20,00;57.627,29;;;;57.627,29;
463A; Investigación científica;506.196,27;232.424,99;1.461,18;33.488,02;305.369,16;136.424,98;328,27;1.215.692,87;;;;1.215.692,87;
463B; Fomento y coordinación de la investigación científica y técnica;17.282,04;29.918,91;301,00;210.726,51;913,14;899.470,69;1.857.484,56;3.016.096,85;;;;3.016.096,85;
465A; Investigación sanitaria;45.229,23;24.536,42;60,00;85.896,22;10.282,20;163.857,38;226,00;330.087,45;;;;330.087,45;
467C; Investigación y desarrollo tecnológico-industrial;8.968,21;8.082,65;255,00;17.476,39;3.172,28;511.231,05;938.270,00;1.487.455,58;;;;1.487.455,58;
467H; Investigación energética, medioambiental y tecnológica;59.677,91;27.025,51;1.139,36;554,20;24.572,25;2.197,00;128,00;115.294,23;;;;115.294,23;
;TOTAL CONSOLIDADO;706.492,36;358.906,86;3.272,24;485.425,55;596.634,19;3.019.627,41;3.026.503,46;8.196.862,07;;;;8.196.862,07;
000X; Transferencias y libramientos internos;;;;730.590,58;;2.188.930,81;4.163,97;2.923.685,36;1.627,64;;;2.925.313,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;730.590,58;;2.188.930,81;4.163,97;2.923.685,36;1.627,64;;;2.925.313,00;
;TOTAL;706.492,36;358.906,86;3.272,24;1.216.016,13;596.634,19;5.208.558,22;3.030.667,43;11.120.547,43;1.627,64;;;11.122.175,07;
;;



