Source,Target,Type,weight,book
Arya-Stark,Sansa-Stark,Undirected,104,1
Bran-Stark,Jon-Snow,Undirected,56,1
Bran-Stark,Luwin,Undirected,65,1
Bran-Stark,Robb-Stark,Undirected,112,1
Bronn,Tyrion-Lannister,Undirected,61,1
Catelyn-Stark,Eddard-Stark,Undirected,64,1
Cersei-Lannister,Eddard-Stark,Undirected,69,1
Cersei-Lannister,Robert-Baratheon,Undirected,72,1
Daenerys-Targaryen,Drogo,Undirected,101,1
Daenerys-Targaryen,Jorah-Mormont,Undirected,75,1
Eddard-Stark,Petyr-Baelish,Undirected,81,1
Eddard-Stark,Robert-Baratheon,Undirected,291,1
Eddard-Stark,Varys,Undirected,61,1
Jeor-Mormont,Jon-Snow,Undirected,81,1
Joffrey-Baratheon,Sansa-Stark,Undirected,87,1
Jon-Snow,Robb-Stark,Undirected,53,1
Jon-Snow,Samwell-Tarly,Undirected,81,1
Jon-Snow,Tyrion-Lannister,Undirected,56,1
