munic,prov,num_certificados,fec_emision_avg,fec_expira_avg,emision_co_avg,consumo_ener_avg,anio_avg,latitud_avg,longitud_avg,clasificacion_emisiones_A_pct,clasificacion_emisiones_B_pct,clasificacion_emisiones_C_pct,clasificacion_emisiones_D_pct,clasificacion_emisiones_E_pct,clasificacion_emisiones_F_pct,clasificacion_emisiones_G_pct,clasificacion_consumo_A_pct,clasificacion_consumo_B_pct,clasificacion_consumo_C_pct,clasificacion_consumo_D_pct,clasificacion_consumo_E_pct,clasificacion_consumo_F_pct,clasificacion_consumo_G_pct,estadoedi_Existente_pct,estadoedi_Obra Terminada_pct,estadoedi_Proyecto Nueva Construcción_pct,estadoedi_Proyecto Reforma_pct,tipoedi_Bloque completo_pct,tipoedi_Bloque: Vivienda individual_pct,tipoedi_Edificio completo_pct,tipoedi_Local_pct,tipoedi_Unifamiliar_pct
ABABUJ,TERUEL,2,2020-12-11,2031-02-21,57.760000000000005,341.09,1949,40.548990189343556,-0.8082053252494921,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0
ABANTO,ZARAGOZA,3,2021-05-14,2031-05-14,57.376666666666665,278.7033333333333,1944,41.13773525083902,-1.6982964959554983,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ABEJUELA,TERUEL,5,2023-08-16,2033-08-15,32.814,171.93,1924,39.910483631949894,-0.8946229792140169,0.0,20.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ABIEGO,HUESCA,27,2023-04-13,2032-11-13,85.54333333333334,298.2851851851852,1935,42.13282289586141,-0.060938753008805524,7.4074074074074066,7.4074074074074066,3.7037037037037033,7.4074074074074066,48.148148148148145,7.4074074074074066,18.51851851851852,7.4074074074074066,3.7037037037037033,3.7037037037037033,7.4074074074074066,37.03703703703704,25.925925925925924,14.814814814814813,96.29629629629629,0.0,3.7037037037037033,0.0,0.0,3.7037037037037033,0.0,0.0,96.29629629629629
ACERED,ZARAGOZA,4,2022-04-09,2032-04-08,68.7325,274.9525,1955,41.17084369202434,-1.6044141453462193,0.0,0.0,0.0,0.0,75.0,0.0,25.0,0.0,0.0,0.0,25.0,50.0,0.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ADAHUESCA,HUESCA,15,2022-01-13,2032-02-27,45.74333333333333,216.65866666666668,1952,42.146280216066586,-0.008408393306066077,0.0,0.0,13.333333333333334,33.33333333333333,46.666666666666664,6.666666666666667,0.0,0.0,0.0,13.333333333333334,20.0,53.333333333333336,13.333333333333334,0.0,100.0,0.0,0.0,0.0,20.0,33.33333333333333,0.0,6.666666666666667,40.0
AGON,ZARAGOZA,23,2021-12-07,2032-01-26,49.6795652173913,213.23478260869564,1962,41.85582657998328,-1.453138405108554,13.043478260869565,8.695652173913043,4.3478260869565215,26.08695652173913,34.78260869565217,4.3478260869565215,8.695652173913043,13.043478260869565,8.695652173913043,0.0,34.78260869565217,34.78260869565217,4.3478260869565215,4.3478260869565215,91.30434782608695,0.0,8.695652173913043,0.0,0.0,13.043478260869565,4.3478260869565215,4.3478260869565215,78.26086956521739
AGUARON,ZARAGOZA,55,2022-03-19,2032-05-16,64.85363636363635,308.9256363636364,1963,41.3388792625627,-1.2698896826378578,1.8181818181818181,0.0,5.454545454545454,18.181818181818183,52.72727272727272,7.2727272727272725,14.545454545454545,1.8181818181818181,0.0,1.8181818181818181,10.909090909090908,63.63636363636363,7.2727272727272725,14.545454545454545,100.0,0.0,0.0,0.0,0.0,25.454545454545453,1.8181818181818181,1.8181818181818181,70.9090909090909
AGUATON,TERUEL,3,2023-12-04,2032-04-04,33.556666666666665,185.51,1987,40.67126055138613,-1.2342684896795582,0.0,0.0,33.33333333333333,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,100.0,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0,0.0
AGUAVIVA,TERUEL,59,2022-09-25,2032-02-25,51.265762711864404,243.6149152542373,1964,40.82238107991544,-0.19707780637983385,5.084745762711865,3.389830508474576,10.16949152542373,15.254237288135593,40.67796610169492,13.559322033898304,11.864406779661017,5.084745762711865,3.389830508474576,6.779661016949152,18.64406779661017,40.67796610169492,13.559322033898304,11.864406779661017,98.30508474576271,0.0,1.694915254237288,0.0,1.694915254237288,15.254237288135593,15.254237288135593,8.47457627118644,59.32203389830508
AGUERO,HUESCA,26,2022-07-21,2032-09-05,62.47038461538462,300.0519230769231,1936,42.3552064609779,-0.7947358448812154,7.6923076923076925,3.8461538461538463,0.0,15.384615384615385,50.0,11.538461538461538,11.538461538461538,0.0,11.538461538461538,0.0,11.538461538461538,53.84615384615385,7.6923076923076925,15.384615384615385,100.0,0.0,0.0,0.0,3.8461538461538463,3.8461538461538463,0.0,0.0,92.3076923076923
AGUILAR DEL ALFAMBRA,TERUEL,40,2023-10-04,2033-06-07,63.61625,290.61875,1973,40.589763204234245,-0.7955546688659448,2.5,0.0,5.0,30.0,50.0,5.0,7.5,2.5,0.0,2.5,22.5,57.49999999999999,10.0,5.0,97.5,0.0,2.5,0.0,2.5,17.5,7.5,0.0,72.5
AGUILON,ZARAGOZA,22,2021-09-09,2031-01-20,63.253181818181815,323.395,1951,41.295121186620946,-1.0462288698271618,4.545454545454546,4.545454545454546,4.545454545454546,22.727272727272727,40.909090909090914,9.090909090909092,13.636363636363635,4.545454545454546,4.545454545454546,0.0,13.636363636363635,54.54545454545454,0.0,22.727272727272727,100.0,0.0,0.0,0.0,4.545454545454546,0.0,4.545454545454546,4.545454545454546,86.36363636363636
